user,user location,user created at,tweet text,tweet created at
MENA_Britain,"London, England",2017-01-27 10:59:21,Emirates NBD Dubai Economy Tracker: The health of the non-oil private sector in Dubai improved at a marked rate in… https://t.co/d9SugzNxAN,2018-07-10 16:30:30
MaxOfArabia,UAE - DXB,2010-11-17 08:22:22,".
شو رايكم في ربيعكم ماكسلاندو ، انفع العب في كأس العالم؟
⚽️⚽️⚽️👦🏼⚽️⚽️⚽️
Who thinks I should play in the World Cup?… https://t.co/LuB8dNBn7E",2018-07-10 16:01:16
BatizLazo,Bangor (Wales),2011-05-12 13:46:52,Emirates NBD convenes UAE youth at discussion on money management for millennials https://t.co/M2QUhmmFg9,2018-07-10 12:04:25
247jobsindubai,United Arab Emirates,2017-07-11 10:51:49,"Emirates NBD Latest Vacancies 
Jobs Offered in Accounts | Finance | Customer Service | IT | Sales Good Salary Packa… https://t.co/9K1TwJZG4M",2018-07-10 11:52:24
ENBDdeals,United Arab Emirates,2012-12-03 13:57:04,"Entry is free at the Viewing Party, Jumeirah Mina A'Salam from 14th June till 15th July
Use your Emirates NBD Visa… https://t.co/B5mMzsZLK2",2018-07-10 11:39:16
EmiratesNBD,United Arab Emirates,2012-06-10 13:23:44,"Entry is free at the Viewing Party, Jumeirah Mina A'Salam from 14th June till 15th July
Use your Emirates NBD Visa… https://t.co/LolIcikZb0",2018-07-10 11:38:23
ATM_Industry,,2011-09-13 17:11:04,Emirates NBD convenes UAE youth at discussion on money management for millennials https://t.co/Re2ZWtfZAg,2018-07-10 11:21:00
EmiratesNBD,United Arab Emirates,2012-06-10 13:23:44,"Emirates NBD has released the #Dubai #Economy Tracker for #June. Click here to read more 
https://t.co/fhI6emNDr0",2018-07-10 11:13:31
pray0727,"Kediri, Jawa Timur",2016-05-11 22:31:23,"RT @HabibiCoinIO: Strong growth was witnessed in construction and wholesale and retail sectors in Dubai during June, the latest monthly sur…",2018-07-10 07:58:53
IAmMrBrightside,"Dubai, United Arab Emirates",2009-02-18 15:52:07,@pamdeleon_ @EntMagazineME What do you need to know? I’ve dealt almost exclusively with Emirates NBD for offshore/onshore company accounts-,2018-07-10 07:31:41
ArinduAkalanka,🇱🇰 🇱🇰 ,2014-07-23 16:50:37,"RT @HabibiCoinIO: Strong growth was witnessed in construction and wholesale and retail sectors in Dubai during June, the latest monthly sur…",2018-07-09 20:12:44
chadcol94811130,,2013-08-06 15:22:53,"RT @HabibiCoinIO: Strong growth was witnessed in construction and wholesale and retail sectors in Dubai during June, the latest monthly sur…",2018-07-09 18:54:57
viavallent12,,2016-11-06 05:23:37,"RT @HabibiCoinIO: Strong growth was witnessed in construction and wholesale and retail sectors in Dubai during June, the latest monthly sur…",2018-07-09 18:08:09
BankingMonthly,,2018-06-15 14:52:58,Emirates NBD opens online shopping mall - https://t.co/PurDlusvd1 https://t.co/14jDu3KHGc,2018-07-09 17:00:59
kongqi7255,"福建, 中华人民共和国",2018-05-27 13:06:11,"RT @HabibiCoinIO: Strong growth was witnessed in construction and wholesale and retail sectors in Dubai during June, the latest monthly sur…",2018-07-09 16:42:07
bestcoin100k,,2018-03-07 15:00:21,"RT @HabibiCoinIO: Strong growth was witnessed in construction and wholesale and retail sectors in Dubai during June, the latest monthly sur…",2018-07-09 15:13:57
Golden_Knight14,"Cairo, Egypt",2013-08-10 04:06:44,"@mo7amed_3ssam @Badr_NabiL Emirates NBD Egypt
بنك الإمارات دبي الوطني",2018-07-09 15:00:28
HabibiCoinIO,"Dubai, United Arab Emirates",2018-03-21 18:06:43,"Strong growth was witnessed in construction and wholesale and retail sectors in Dubai during June, the latest month… https://t.co/XYBoOyKPVB",2018-07-09 14:18:04
luisfernandez,"Tabarnia, España",2008-02-17 20:05:46,"Dubai's non-oil sector conditions improved in June, says Emirates NBD - https://t.co/34eycKW9Hb via viajesdigitales… https://t.co/NwXCUPDJAS",2018-07-09 11:46:00
ENBDdeals,United Arab Emirates,2012-12-03 13:57:04,Get 1 + 1 for the theme nights at Chef’s House at Radisson Blu DMC for the entire July – Aug month with Emirates NB… https://t.co/HL9yLuKeUU,2018-07-09 11:39:01
BatizLazo,Bangor (Wales),2011-05-12 13:46:52,Eidiya becomes instant with Emirates NBD Eidiya Express https://t.co/HYWhQZhWfu,2018-07-09 08:24:47
ATM_Industry,,2011-09-13 17:11:04,Eidiya becomes instant with Emirates NBD Eidiya Express https://t.co/bGNfdQqltD,2018-07-09 08:16:01
infoblazeme,DUBAI,2012-09-11 08:57:36,"Dubai's non-oil sector conditions improved in June, says Emirates NBD

#DETindex
Khatija Haque @EmiratesNBD… https://t.co/gAJKjk5PnA",2018-07-09 08:00:22
letstalkdubai,"Dubai, United Arab Emirates",2017-04-02 05:52:33,"Dubai's non-oil sector conditions improved in June, says Emirates NBD

#DETindex
Khatija Haque @EmiratesNBD… https://t.co/XWyaRy75jD",2018-07-09 07:59:17
